Provider,accuracy,configAccuracy,deviceid,latitude,local_time,longitude,senseStartTimeMillis,sensorType,speed,userid
GPS,1140,kCLLocationAccuracyHundredMeters,14259BC9-DEDE-4E28-A653-1F39B2DD4A0E,41.8117115185,02:05:53:459 02 10 2015 -0400 EDT,-72.2682455843,1443765953000,Location,-1,000000
GPS,1192,kCLLocationAccuracyHundredMeters,14259BC9-DEDE-4E28-A653-1F39B2DD4A0E,41.8115895988,02:06:05:319 02 10 2015 -0400 EDT,-72.2676200794,1443765965000,Location,-1,000000
GPS,8000,kCLLocationAccuracyHundredMeters,14259BC9-DEDE-4E28-A653-1F39B2DD4A0E,41.8152898457,02:08:07:844 02 10 2015 -0400 EDT,-72.2701986577,1443766088000,Location,-1,000000
GPS,5000,kCLLocationAccuracyHundredMeters,14259BC9-DEDE-4E28-A653-1F39B2DD4A0E,41.8165643634,02:08:07:920 02 10 2015 -0400 EDT,-72.2714631591,1443766088000,Location,-1,000000
GPS,5000,kCLLocationAccuracyHundredMeters,14259BC9-DEDE-4E28-A653-1F39B2DD4A0E,41.8169928878,02:08:13:642 02 10 2015 -0400 EDT,-72.2718819957,1443766094000,Location,-1,000000
GPS,5072,kCLLocationAccuracyHundredMeters,14259BC9-DEDE-4E28-A653-1F39B2DD4A0E,41.8139381784,02:08:38:231 02 10 2015 -0400 EDT,-72.2680913698,1443766118000,Location,-1,000000
GPS,5072,kCLLocationAccuracyHundredMeters,14259BC9-DEDE-4E28-A653-1F39B2DD4A0E,41.8117796373,02:08:38:266 02 10 2015 -0400 EDT,-72.2654628482,1443766118000,Location,-1,000000
GPS,5072,kCLLocationAccuracyHundredMeters,14259BC9-DEDE-4E28-A653-1F39B2DD4A0E,41.8102400570,02:08:38:312 02 10 2015 -0400 EDT,-72.2635880390,1443766119000,Location,-1,000000
GPS,5000,kCLLocationAccuracyHundredMeters,14259BC9-DEDE-4E28-A653-1F39B2DD4A0E,41.8136953033,02:08:39:975 02 10 2015 -0400 EDT,-72.2678250969,1443766120000,Location,-1,000000
GPS,5000,kCLLocationAccuracyHundredMeters,14259BC9-DEDE-4E28-A653-1F39B2DD4A0E,41.8153787192,02:08:40:014 02 10 2015 -0400 EDT,-72.2698910582,1443766120000,Location,-1,000000
GPS,5000,kCLLocationAccuracyHundredMeters,14259BC9-DEDE-4E28-A653-1F39B2DD4A0E,41.8162202046,02:08:40:124 02 10 2015 -0400 EDT,-72.2709236927,1443766120000,Location,-1,000000
GPS,5000,kCLLocationAccuracyHundredMeters,14259BC9-DEDE-4E28-A653-1F39B2DD4A0E,41.8134601155,02:08:41:198 02 10 2015 -0400 EDT,-72.2675460813,1443766121000,Location,-1,000000
GPS,5000,kCLLocationAccuracyHundredMeters,14259BC9-DEDE-4E28-A653-1F39B2DD4A0E,41.8114799803,02:08:41:232 02 10 2015 -0400 EDT,-72.2651244576,1443766121000,Location,-1,000000
GPS,5000,kCLLocationAccuracyHundredMeters,14259BC9-DEDE-4E28-A653-1F39B2DD4A0E,41.8100481422,02:08:43:003 02 10 2015 -0400 EDT,-72.2633708727,1443766123000,Location,-1,000000
