Provider,accuracy,configAccuracy,deviceid,latitude,local_time,longitude,senseStartTimeMillis,sensorType,speed,userid
GPS,5000,kCLLocationAccuracyHundredMeters,14259BC9-DEDE-4E28-A653-1F39B2DD4A0E,41.8162682838,07:25:08:762 05 10 2015 -0400 EDT,-72.2711112062,1444044309000,Location,-1,000000
GPS,5000,kCLLocationAccuracyHundredMeters,14259BC9-DEDE-4E28-A653-1F39B2DD4A0E,41.8166653309,07:25:08:801 05 10 2015 -0400 EDT,-72.2715343018,1444044309000,Location,-1,000000
GPS,65,kCLLocationAccuracyHundredMeters,14259BC9-DEDE-4E28-A653-1F39B2DD4A0E,41.8089348581,07:28:17:572 05 10 2015 -0400 EDT,-72.2688502045,1444044498000,Location,-1,000000
GPS,6500,kCLLocationAccuracyHundredMeters,14259BC9-DEDE-4E28-A653-1F39B2DD4A0E,41.8079317862,07:29:55:415 05 10 2015 -0400 EDT,-72.2649042753,1444044595000,Location,-1,000000
GPS,6500,kCLLocationAccuracyHundredMeters,14259BC9-DEDE-4E28-A653-1F39B2DD4A0E,41.8073273456,07:29:55:455 05 10 2015 -0400 EDT,-72.2625271874,1444044596000,Location,-1,000000
GPS,6500,kCLLocationAccuracyHundredMeters,14259BC9-DEDE-4E28-A653-1F39B2DD4A0E,41.8069632590,07:29:55:492 05 10 2015 -0400 EDT,-72.2610953415,1444044596000,Location,-1,000000
GPS,8000,kCLLocationAccuracyHundredMeters,14259BC9-DEDE-4E28-A653-1F39B2DD4A0E,41.8141639407,07:32:44:132 05 10 2015 -0400 EDT,-72.2686639851,1444044764000,Location,-1,000000
GPS,5000,kCLLocationAccuracyHundredMeters,14259BC9-DEDE-4E28-A653-1F39B2DD4A0E,41.8162482102,07:32:44:172 05 10 2015 -0400 EDT,-72.2710322816,1444044764000,Location,-1,000000
GPS,5000,kCLLocationAccuracyHundredMeters,14259BC9-DEDE-4E28-A653-1F39B2DD4A0E,41.8166552940,07:32:44:207 05 10 2015 -0400 EDT,-72.2714948395,1444044764000,Location,-1,000000
GPS,65,kCLLocationAccuracyHundredMeters,14259BC9-DEDE-4E28-A653-1F39B2DD4A0E,41.8089348911,07:33:24:477 05 10 2015 -0400 EDT,-72.2688505681,1444044805000,Location,-1,000000
GPS,8327,kCLLocationAccuracyHundredMeters,14259BC9-DEDE-4E28-A653-1F39B2DD4A0E,41.8149089224,07:45:42:291 05 10 2015 -0400 EDT,-72.2711343709,1444045542000,Location,-1,000000
GPS,5000,kCLLocationAccuracyHundredMeters,14259BC9-DEDE-4E28-A653-1F39B2DD4A0E,41.8164918088,07:45:42:365 05 10 2015 -0400 EDT,-72.2717393323,1444045543000,Location,-1,000000
GPS,65,kCLLocationAccuracyHundredMeters,14259BC9-DEDE-4E28-A653-1F39B2DD4A0E,41.8089348658,07:50:01:825 05 10 2015 -0400 EDT,-72.2688502498,1444045802000,Location,-1,000000
GPS,8000,kCLLocationAccuracyHundredMeters,14259BC9-DEDE-4E28-A653-1F39B2DD4A0E,41.8147794141,07:53:02:928 05 10 2015 -0400 EDT,-72.2710846288,1444045983000,Location,-1,000000
GPS,5000,kCLLocationAccuracyHundredMeters,14259BC9-DEDE-4E28-A653-1F39B2DD4A0E,41.8164210960,07:53:02:961 05 10 2015 -0400 EDT,-72.2717122377,1444045983000,Location,-1,000000
GPS,5000,kCLLocationAccuracyHundredMeters,14259BC9-DEDE-4E28-A653-1F39B2DD4A0E,41.8139553399,07:54:19:739 05 10 2015 -0400 EDT,-72.2682529288,1444046060000,Location,-1,000000
GPS,5000,kCLLocationAccuracyHundredMeters,14259BC9-DEDE-4E28-A653-1F39B2DD4A0E,41.8118363521,07:54:19:798 05 10 2015 -0400 EDT,-72.2656331150,1444046060000,Location,-1,000000
